99,Xilin.Turbines.Xilin 10.U_A_N,GEFJ2.10.U_A_N,风机A相电压
100,Xilin.Turbines.Xilin 10.U_B_N,GEFJ2.10.U_B_N,风机B相电压
101,Xilin.Turbines.Xilin 10.U_C_N,GEFJ2.10.U_C_N,风机C相电压
102,Xilin.Turbines.Xilin 10.V_WIN,GEFJ2.10.V_WIN,风机风速
103,Xilin.Turbines.Xilin 11.BL1_ACT,GEFJ2.11.BL1_ACT,风机叶片实际角度1
104,Xilin.Turbines.Xilin 11.BL1_SET_V,GEFJ2.11.BL1_SET_V,风机叶片设定角度1
105,Xilin.Turbines.Xilin 11.BL2_ACT,GEFJ2.11.BL2_ACT,风机叶片实际角度2
106,Xilin.Turbines.Xilin 11.BL2_SET_V,GEFJ2.11.BL2_SET_V,风机叶片设定角度2
107,Xilin.Turbines.Xilin 11.BL3_ACT,GEFJ2.11.BL3_ACT,风机叶片实际角度3
108,Xilin.Turbines.Xilin 11.BL3_SET_V,GEFJ2.11.BL3_SET_V,风机叶片设定角度3
109,Xilin.Turbines.Xilin 11.EVENT_001-016,GEFJ2.11.EVENT_001-016,风机故障代码
110,Xilin.Turbines.Xilin 11.EVENT_017-032,GEFJ2.11.EVENT_017-032,风机故障代码
111,Xilin.Turbines.Xilin 11.EVENT_033-048,GEFJ2.11.EVENT_033-048,风机故障代码
112,Xilin.Turbines.Xilin 11.EVENT_049-064,GEFJ2.11.EVENT_049-064,风机故障代码
113,Xilin.Turbines.Xilin 11.EVENT_065-080,GEFJ2.11.EVENT_065-080,风机故障代码
114,Xilin.Turbines.Xilin 11.EVENT_097-112,GEFJ2.11.EVENT_097-112,风机故障代码
115,Xilin.Turbines.Xilin 11.EVENT_1000001-1000016,GEFJ2.11.EVENT_1000001-1000016,风机故障代码
116,Xilin.Turbines.Xilin 11.EVENT_113-128,GEFJ2.11.EVENT_113-128,风机故障代码
117,Xilin.Turbines.Xilin 11.EVENT_129-144,GEFJ2.11.EVENT_129-144,风机故障代码
118,Xilin.Turbines.Xilin 11.EVENT_145-160,GEFJ2.11.EVENT_145-160,风机故障代码
119,Xilin.Turbines.Xilin 11.EVENT_161-176,GEFJ2.11.EVENT_161-176,风机故障代码
120,Xilin.Turbines.Xilin 11.EVENT_177-192,GEFJ2.11.EVENT_177-192,风机故障代码
121,Xilin.Turbines.Xilin 11.EVENT_193-208,GEFJ2.11.EVENT_193-208,风机故障代码
122,Xilin.Turbines.Xilin 11.EVENT_209-224,GEFJ2.11.EVENT_209-224,风机故障代码
123,Xilin.Turbines.Xilin 11.EVENT_225-240,GEFJ2.11.EVENT_225-240,风机故障代码
124,Xilin.Turbines.Xilin 11.EVENT_241-256,GEFJ2.11.EVENT_241-256,风机故障代码
125,Xilin.Turbines.Xilin 11.EVENT_257-272,GEFJ2.11.EVENT_257-272,风机故障代码
126,Xilin.Turbines.Xilin 11.EVENT_273-288,GEFJ2.11.EVENT_273-288,风机故障代码
127,Xilin.Turbines.Xilin 11.EVENT_289-304,GEFJ2.11.EVENT_289-304,风机故障代码
128,Xilin.Turbines.Xilin 11.EVENT_305-320,GEFJ2.11.EVENT_305-320,风机故障代码
129,Xilin.Turbines.Xilin 11.EVENT_321-336,GEFJ2.11.EVENT_321-336,风机故障代码
130,Xilin.Turbines.Xilin 11.EVENT_337-352,GEFJ2.11.EVENT_337-352,风机故障代码
131,Xilin.Turbines.Xilin 11.EVENT_353-368,GEFJ2.11.EVENT_353-368,风机故障代码
132,Xilin.Turbines.Xilin 11.GE_AVAIL,GEFJ2.11.GE_AVAIL,风机可利用率
133,Xilin.Turbines.Xilin 11.I_A,GEFJ2.11.I_A,风机A相电流
134,Xilin.Turbines.Xilin 11.I_B,GEFJ2.11.I_B,风机B相电流
135,Xilin.Turbines.Xilin 11.I_C,GEFJ2.11.I_C,风机C相电流
136,Xilin.Turbines.Xilin 11.N_ROT_PLC,GEFJ2.11.N_ROT_PLC,风机转子速度
137,Xilin.Turbines.Xilin 11.OT_ULM,GEFJ2.11.OT_ULM,风机并网发电时间
138,Xilin.Turbines.Xilin 11.OTT,GEFJ2.11.OTT,风机并网发电时间
139,Xilin.Turbines.Xilin 11.P_ACT,GEFJ2.11.P_ACT,风机功率
140,Xilin.Turbines.Xilin 11.POS_NAC,GEFJ2.11.POS_NAC,风机机舱位置
141,Xilin.Turbines.Xilin 11.PROD,GEFJ2.11.PROD,风机发电量
142,Xilin.Turbines.Xilin 11.PROD_ULM,GEFJ2.11.PROD_ULM,风机发电量
143,Xilin.Turbines.Xilin 11.STATE_FAULT,GEFJ2.11.STATE_FAULT,风机状态
144,Xilin.Turbines.Xilin 11.T_BEAR_SHAFT,GEFJ2.11.T_BEAR_SHAFT,风机主轴温度
145,Xilin.Turbines.Xilin 11.T_GEAR,GEFJ2.11.T_GEAR,风机齿轮箱油温
146,Xilin.Turbines.Xilin 11.T_GEAR_BEAR,GEFJ2.11.T_GEAR_BEAR,风机齿轮箱轴承温度
147,Xilin.Turbines.Xilin 11.T_GEN_1,GEFJ2.11.T_GEN_1,风机发电机轴温度
148,Xilin.Turbines.Xilin 11.T_GEN_2,GEFJ2.11.T_GEN_2,风机发电机定子温度
149,Xilin.Turbines.Xilin 11.T_NAC,GEFJ2.11.T_NAC,风机机舱温度
150,Xilin.Turbines.Xilin 11.U_A_N,GEFJ2.11.U_A_N,风机A相电压
151,Xilin.Turbines.Xilin 11.U_B_N,GEFJ2.11.U_B_N,风机B相电压
152,Xilin.Turbines.Xilin 11.U_C_N,GEFJ2.11.U_C_N,风机C相电压
153,Xilin.Turbines.Xilin 11.V_WIN,GEFJ2.11.V_WIN,风机风速
154,Xilin.Turbines.Xilin 12.BL1_ACT,GEFJ2.12.BL1_ACT,风机叶片实际角度1
155,Xilin.Turbines.Xilin 12.BL1_SET_V,GEFJ2.12.BL1_SET_V,风机叶片设定角度1
156,Xilin.Turbines.Xilin 12.BL2_ACT,GEFJ2.12.BL2_ACT,风机叶片实际角度2
157,Xilin.Turbines.Xilin 12.BL2_SET_V,GEFJ2.12.BL2_SET_V,风机叶片设定角度2
158,Xilin.Turbines.Xilin 12.BL3_ACT,GEFJ2.12.BL3_ACT,风机叶片实际角度3
159,Xilin.Turbines.Xilin 12.BL3_SET_V,GEFJ2.12.BL3_SET_V,风机叶片设定角度3
160,Xilin.Turbines.Xilin 12.EVENT_001-016,GEFJ2.12.EVENT_001-016,风机故障代码
161,Xilin.Turbines.Xilin 12.EVENT_017-032,GEFJ2.12.EVENT_017-032,风机故障代码
162,Xilin.Turbines.Xilin 12.EVENT_033-048,GEFJ2.12.EVENT_033-048,风机故障代码
163,Xilin.Turbines.Xilin 12.EVENT_049-064,GEFJ2.12.EVENT_049-064,风机故障代码
164,Xilin.Turbines.Xilin 12.EVENT_065-080,GEFJ2.12.EVENT_065-080,风机故障代码
165,Xilin.Turbines.Xilin 12.EVENT_097-112,GEFJ2.12.EVENT_097-112,风机故障代码
166,Xilin.Turbines.Xilin 12.EVENT_1000001-1000016,GEFJ2.12.EVENT_1000001-1000016,风机故障代码
167,Xilin.Turbines.Xilin 12.EVENT_113-128,GEFJ2.12.EVENT_113-128,风机故障代码
168,Xilin.Turbines.Xilin 12.EVENT_129-144,GEFJ2.12.EVENT_129-144,风机故障代码
169,Xilin.Turbines.Xilin 12.EVENT_145-160,GEFJ2.12.EVENT_145-160,风机故障代码
170,Xilin.Turbines.Xilin 12.EVENT_161-176,GEFJ2.12.EVENT_161-176,风机故障代码
171,Xilin.Turbines.Xilin 12.EVENT_177-192,GEFJ2.12.EVENT_177-192,风机故障代码
172,Xilin.Turbines.Xilin 12.EVENT_193-208,GEFJ2.12.EVENT_193-208,风机故障代码
173,Xilin.Turbines.Xilin 12.EVENT_209-224,GEFJ2.12.EVENT_209-224,风机故障代码
174,Xilin.Turbines.Xilin 12.EVENT_225-240,GEFJ2.12.EVENT_225-240,风机故障代码
175,Xilin.Turbines.Xilin 12.EVENT_241-256,GEFJ2.12.EVENT_241-256,风机故障代码
176,Xilin.Turbines.Xilin 12.EVENT_257-272,GEFJ2.12.EVENT_257-272,风机故障代码
177,Xilin.Turbines.Xilin 12.EVENT_273-288,GEFJ2.12.EVENT_273-288,风机故障代码
178,Xilin.Turbines.Xilin 12.EVENT_289-304,GEFJ2.12.EVENT_289-304,风机故障代码
179,Xilin.Turbines.Xilin 12.EVENT_305-320,GEFJ2.12.EVENT_305-320,风机故障代码
180,Xilin.Turbines.Xilin 12.EVENT_321-336,GEFJ2.12.EVENT_321-336,风机故障代码
181,Xilin.Turbines.Xilin 12.EVENT_337-352,GEFJ2.12.EVENT_337-352,风机故障代码
182,Xilin.Turbines.Xilin 12.EVENT_353-368,GEFJ2.12.EVENT_353-368,风机故障代码
183,Xilin.Turbines.Xilin 12.GE_AVAIL,GEFJ2.12.GE_AVAIL,风机可利用率
184,Xilin.Turbines.Xilin 12.I_A,GEFJ2.12.I_A,风机A相电流
185,Xilin.Turbines.Xilin 12.I_B,GEFJ2.12.I_B,风机B相电流
186,Xilin.Turbines.Xilin 12.I_C,GEFJ2.12.I_C,风机C相电流
187,Xilin.Turbines.Xilin 12.N_ROT_PLC,GEFJ2.12.N_ROT_PLC,风机转子速度
188,Xilin.Turbines.Xilin 12.OT_ULM,GEFJ2.12.OT_ULM,风机并网发电时间
189,Xilin.Turbines.Xilin 12.OTT,GEFJ2.12.OTT,风机并网发电时间
190,Xilin.Turbines.Xilin 12.P_ACT,GEFJ2.12.P_ACT,风机功率
191,Xilin.Turbines.Xilin 12.POS_NAC,GEFJ2.12.POS_NAC,风机机舱位置
192,Xilin.Turbines.Xilin 12.PROD,GEFJ2.12.PROD,风机发电量
193,Xilin.Turbines.Xilin 12.PROD_ULM,GEFJ2.12.PROD_ULM,风机发电量
194,Xilin.Turbines.Xilin 12.STATE_FAULT,GEFJ2.12.STATE_FAULT,风机状态
195,Xilin.Turbines.Xilin 12.T_BEAR_SHAFT,GEFJ2.12.T_BEAR_SHAFT,风机主轴温度
196,Xilin.Turbines.Xilin 12.T_GEAR,GEFJ2.12.T_GEAR,风机齿轮箱油温
197,Xilin.Turbines.Xilin 12.T_GEAR_BEAR,GEFJ2.12.T_GEAR_BEAR,风机齿轮箱轴承温度
198,Xilin.Turbines.Xilin 12.T_GEN_1,GEFJ2.12.T_GEN_1,风机发电机轴温度
199,Xilin.Turbines.Xilin 12.T_GEN_2,GEFJ2.12.T_GEN_2,风机发电机定子温度
200,Xilin.Turbines.Xilin 12.T_NAC,GEFJ2.12.T_NAC,风机机舱温度
201,Xilin.Turbines.Xilin 12.U_A_N,GEFJ2.12.U_A_N,风机A相电压
202,Xilin.Turbines.Xilin 12.U_B_N,GEFJ2.12.U_B_N,风机B相电压
203,Xilin.Turbines.Xilin 12.U_C_N,GEFJ2.12.U_C_N,风机C相电压
204,Xilin.Turbines.Xilin 12.V_WIN,GEFJ2.12.V_WIN,风机风速
205,Xilin.Turbines.Xilin 13.BL1_ACT,GEFJ2.13.BL1_ACT,风机叶片实际角度1
206,Xilin.Turbines.Xilin 13.BL1_SET_V,GEFJ2.13.BL1_SET_V,风机叶片设定角度1
207,Xilin.Turbines.Xilin 13.BL2_ACT,GEFJ2.13.BL2_ACT,风机叶片实际角度2
208,Xilin.Turbines.Xilin 13.BL2_SET_V,GEFJ2.13.BL2_SET_V,风机叶片设定角度2
209,Xilin.Turbines.Xilin 13.BL3_ACT,GEFJ2.13.BL3_ACT,风机叶片实际角度3
210,Xilin.Turbines.Xilin 13.BL3_SET_V,GEFJ2.13.BL3_SET_V,风机叶片设定角度3
211,Xilin.Turbines.Xilin 13.EVENT_001-016,GEFJ2.13.EVENT_001-016,风机故障代码
212,Xilin.Turbines.Xilin 13.EVENT_017-032,GEFJ2.13.EVENT_017-032,风机故障代码
213,Xilin.Turbines.Xilin 13.EVENT_033-048,GEFJ2.13.EVENT_033-048,风机故障代码
214,Xilin.Turbines.Xilin 13.EVENT_049-064,GEFJ2.13.EVENT_049-064,风机故障代码
215,Xilin.Turbines.Xilin 13.EVENT_065-080,GEFJ2.13.EVENT_065-080,风机故障代码
216,Xilin.Turbines.Xilin 13.EVENT_097-112,GEFJ2.13.EVENT_097-112,风机故障代码
217,Xilin.Turbines.Xilin 13.EVENT_1000001-1000016,GEFJ2.13.EVENT_1000001-1000016,风机故障代码
218,Xilin.Turbines.Xilin 13.EVENT_113-128,GEFJ2.13.EVENT_113-128,风机故障代码
219,Xilin.Turbines.Xilin 13.EVENT_129-144,GEFJ2.13.EVENT_129-144,风机故障代码
220,Xilin.Turbines.Xilin 13.EVENT_145-160,GEFJ2.13.EVENT_145-160,风机故障代码
221,Xilin.Turbines.Xilin 13.EVENT_161-176,GEFJ2.13.EVENT_161-176,风机故障代码
222,Xilin.Turbines.Xilin 13.EVENT_177-192,GEFJ2.13.EVENT_177-192,风机故障代码
223,Xilin.Turbines.Xilin 13.EVENT_193-208,GEFJ2.13.EVENT_193-208,风机故障代码
224,Xilin.Turbines.Xilin 13.EVENT_209-224,GEFJ2.13.EVENT_209-224,风机故障代码
225,Xilin.Turbines.Xilin 13.EVENT_225-240,GEFJ2.13.EVENT_225-240,风机故障代码
226,Xilin.Turbines.Xilin 13.EVENT_241-256,GEFJ2.13.EVENT_241-256,风机故障代码
227,Xilin.Turbines.Xilin 13.EVENT_257-272,GEFJ2.13.EVENT_257-272,风机故障代码
228,Xilin.Turbines.Xilin 13.EVENT_273-288,GEFJ2.13.EVENT_273-288,风机故障代码
229,Xilin.Turbines.Xilin 13.EVENT_289-304,GEFJ2.13.EVENT_289-304,风机故障代码
230,Xilin.Turbines.Xilin 13.EVENT_305-320,GEFJ2.13.EVENT_305-320,风机故障代码
231,Xilin.Turbines.Xilin 13.EVENT_321-336,GEFJ2.13.EVENT_321-336,风机故障代码
232,Xilin.Turbines.Xilin 13.EVENT_337-352,GEFJ2.13.EVENT_337-352,风机故障代码
233,Xilin.Turbines.Xilin 13.EVENT_353-368,GEFJ2.13.EVENT_353-368,风机故障代码
234,Xilin.Turbines.Xilin 13.GE_AVAIL,GEFJ2.13.GE_AVAIL,风机可利用率
235,Xilin.Turbines.Xilin 13.I_A,GEFJ2.13.I_A,风机A相电流
236,Xilin.Turbines.Xilin 13.I_B,GEFJ2.13.I_B,风机B相电流
237,Xilin.Turbines.Xilin 13.I_C,GEFJ2.13.I_C,风机C相电流
238,Xilin.Turbines.Xilin 13.N_ROT_PLC,GEFJ2.13.N_ROT_PLC,风机转子速度
239,Xilin.Turbines.Xilin 13.OT_ULM,GEFJ2.13.OT_ULM,风机并网发电时间
240,Xilin.Turbines.Xilin 13.OTT,GEFJ2.13.OTT,风机并网发电时间
241,Xilin.Turbines.Xilin 13.P_ACT,GEFJ2.13.P_ACT,风机功率
242,Xilin.Turbines.Xilin 13.POS_NAC,GEFJ2.13.POS_NAC,风机机舱位置
243,Xilin.Turbines.Xilin 13.PROD,GEFJ2.13.PROD,风机发电量
244,Xilin.Turbines.Xilin 13.PROD_ULM,GEFJ2.13.PROD_ULM,风机发电量
245,Xilin.Turbines.Xilin 13.STATE_FAULT,GEFJ2.13.STATE_FAULT,风机状态
246,Xilin.Turbines.Xilin 13.T_BEAR_SHAFT,GEFJ2.13.T_BEAR_SHAFT,风机主轴温度
247,Xilin.Turbines.Xilin 13.T_GEAR,GEFJ2.13.T_GEAR,风机齿轮箱油温
248,Xilin.Turbines.Xilin 13.T_GEAR_BEAR,GEFJ2.13.T_GEAR_BEAR,风机齿轮箱轴承温度
249,Xilin.Turbines.Xilin 13.T_GEN_1,GEFJ2.13.T_GEN_1,风机发电机轴温度
250,Xilin.Turbines.Xilin 13.T_GEN_2,GEFJ2.13.T_GEN_2,风机发电机定子温度
251,Xilin.Turbines.Xilin 13.T_NAC,GEFJ2.13.T_NAC,风机机舱温度
252,Xilin.Turbines.Xilin 13.U_A_N,GEFJ2.13.U_A_N,风机A相电压
253,Xilin.Turbines.Xilin 13.U_B_N,GEFJ2.13.U_B_N,风机B相电压
254,Xilin.Turbines.Xilin 13.U_C_N,GEFJ2.13.U_C_N,风机C相电压
255,Xilin.Turbines.Xilin 13.V_WIN,GEFJ2.13.V_WIN,风机风速
256,Xilin.Turbines.Xilin 14.BL1_ACT,GEFJ2.14.BL1_ACT,风机叶片实际角度1
257,Xilin.Turbines.Xilin 14.BL1_SET_V,GEFJ2.14.BL1_SET_V,风机叶片设定角度1
258,Xilin.Turbines.Xilin 14.BL2_ACT,GEFJ2.14.BL2_ACT,风机叶片实际角度2
259,Xilin.Turbines.Xilin 14.BL2_SET_V,GEFJ2.14.BL2_SET_V,风机叶片设定角度2
260,Xilin.Turbines.Xilin 14.BL3_ACT,GEFJ2.14.BL3_ACT,风机叶片实际角度3
261,Xilin.Turbines.Xilin 14.BL3_SET_V,GEFJ2.14.BL3_SET_V,风机叶片设定角度3
262,Xilin.Turbines.Xilin 14.EVENT_001-016,GEFJ2.14.EVENT_001-016,风机故障代码
263,Xilin.Turbines.Xilin 14.EVENT_017-032,GEFJ2.14.EVENT_017-032,风机故障代码
264,Xilin.Turbines.Xilin 14.EVENT_033-048,GEFJ2.14.EVENT_033-048,风机故障代码
265,Xilin.Turbines.Xilin 14.EVENT_049-064,GEFJ2.14.EVENT_049-064,风机故障代码
266,Xilin.Turbines.Xilin 14.EVENT_065-080,GEFJ2.14.EVENT_065-080,风机故障代码
267,Xilin.Turbines.Xilin 14.EVENT_097-112,GEFJ2.14.EVENT_097-112,风机故障代码
